what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.0.v20080530-1237,org.eclipse.equinox.p2.ui,1243065492094
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1243065492094
stopped,bundle,org.eclipse.emf.cheatsheets,2.4.0.v200806091234,org.eclipse.emf.cheatsheets,1243065492219
stopped,bundle,org.eclipse.emf.teneo.hibernate.eclipse,1.0.0.v200806111928,org.eclipse.emf.teneo.hibernate.eclipse,1243065492219
stopped,bundle,org.eclipse.emf.teneo.jpox.eclipse,1.0.0.v200806111928,org.eclipse.emf.teneo.jpox.eclipse,1243065492219
stopped,bundle,org.eclipse.emf.teneo.eclipse,1.0.0.v200806111928,org.eclipse.emf.teneo.eclipse,1243065492219
stopped,bundle,org.eclipse.sdk,3.4.0.v200806172000,org.eclipse.sdk,1243065492219
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.100.v20080508,org.eclipse.ui.cheatsheets,1243065492219
stopped,bundle,org.eclipse.help.ui,3.3.100.v20080521,org.eclipse.help.ui,1243065492219
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1243065492219
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.monitor.ui,1243065492219
stopped,bundle,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser,1243065492219
stopped,bundle,org.eclipse.emf.validation.ui.ide,1.2.0.v200805130238,org.eclipse.emf.validation.ui.ide,1243065492219
stopped,bundle,org.eclipse.emf.validation.ui,1.2.0.v200805130238,org.eclipse.emf.validation.ui,1243065492219
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.providers.ide,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.diagram.ui.providers.ide,1243065492219
stopped,bundle,org.eclipse.gmf.runtime.common.ui.action.ide,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.common.ui.action.ide,1243065492219
stopped,bundle,org.eclipse.emf.ecoretools.diagram.ui.outline,0.8.0.v200806130600,org.eclipse.emf.ecoretools.diagram.ui.outline,1243065492219
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.geoshapes,1.1.0.v20080503-1740,org.eclipse.gmf.runtime.diagram.ui.geoshapes,1243065492219
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing,1.1.0.v20080501-1739,org.eclipse.gmf.runtime.diagram.ui.printing,1243065492219
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.providers,1.1.0.v20080503-1740,org.eclipse.gmf.runtime.diagram.ui.providers,1243065492219
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.1.0.v20080603-1553,org.eclipse.gmf.runtime.diagram.ui.actions,1243065492219
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.dnd,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.diagram.ui.dnd,1243065492219
stopped,bundle,org.eclipse.emf.ecoretools.filters,0.8.0.v200806130600,org.eclipse.emf.ecoretools.filters,1243065492219
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide,1243065492235
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1243065492235
