what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.openarchitectureware.adapter.rsdp,4.3.1.200807300237NGT,org.openarchitectureware.adapter.rsdp,1243065491891
stopped,bundle,org.openarchitectureware.adapter.rsdp.plugin,4.3.1.200807300237NGT,org.openarchitectureware.adapter.rsdp.plugin,1243065491891
stopped,bundle,org.openarchitectureware.check.editor,4.3.1.200807300237NGT,org.openarchitectureware.check.editor,1243065491891
stopped,bundle,org.openarchitectureware.emf.generic.editor,1.0.0.200807300237NGT,org.openarchitectureware.emf.generic.editor,1243065491891
stopped,bundle,org.openarchitectureware.xsd.plugin,4.3.1.200807300237NGT,org.openarchitectureware.xsd.plugin,1243065491891
stopped,bundle,org.openarchitectureware.emftools,4.3.1.200807300237NGT,org.openarchitectureware.emftools,1243065491891
stopped,bundle,org.openarchitectureware.uml2.adapter.plugin.tests,4.3.1.200807300237NGT,org.openarchitectureware.uml2.adapter.plugin.tests,1243065491891
stopped,bundle,org.openarchitectureware.plugins.tests,4.3.1.200807300237NGT,org.openarchitectureware.plugins.tests,1243065491891
stopped,bundle,org.openarchitectureware.recipe.eclipsechecks.plugin.test,4.3.1.200807300237NGT,org.openarchitectureware.recipe.eclipsechecks.plugin.test,1243065491891
stopped,bundle,org.openarchitectureware.uml2.adapter.plugin,4.3.1.200807300237NGT,org.openarchitectureware.uml2.adapter.plugin,1243065491891
stopped,bundle,org.openarchitectureware.xpand2.editor,4.3.1.200807300237NGT,org.openarchitectureware.xpand2.editor,1243065491891
stopped,bundle,org.openarchitectureware.xtend.editor,4.3.1.200807300237NGT,org.openarchitectureware.xtend.editor,1243065491891
stopped,bundle,org.openarchitectureware.xtext.ui,4.3.1.200807300237NGT,org.openarchitectureware.xtext.ui,1243065491891
stopped,bundle,org.openarchitectureware.base,4.3.1.200807300237NGT,org.openarchitectureware.base,1243065491891
stopped,bundle,org.openarchitectureware.uml2.adapter.tests,4.3.1.200807300237NGT,org.openarchitectureware.uml2.adapter.tests,1243065491891
stopped,bundle,org.openarchitectureware.xtext.editor,4.3.1.200807300237NGT,org.openarchitectureware.xtext.editor,1243065491891
stopped,bundle,xtext.reference.editor,4.3.1.200807300237NGT,xtext.reference.editor,1243065491891
stopped,bundle,xtext.reference,4.3.1.200807300237NGT,xtext.reference,1243065491891
stopped,bundle,org.openarchitectureware.xtext.core,4.3.1.200807300237NGT,org.openarchitectureware.xtext.core,1243065491891
stopped,bundle,org.openarchitectureware.xtext.editor.base,4.3.1.200807300237NGT,org.openarchitectureware.xtext.editor.base,1243065491891
stopped,bundle,org.openarchitectureware.xtext.core.base,4.3.1.200807300237NGT,org.openarchitectureware.xtext.core.base,1243065491907
stopped,bundle,org.openarchitectureware.workflow,4.3.1.200807300237NGT,org.openarchitectureware.workflow,1243065491907
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1243065491907
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.0.v20080417-1610,org.eclipse.gmf.bridge.ui.dashboard,1243065491907
stopped,bundle,org.eclipse.gmf.bridge.ui,1.1.100.v20080417-1610,org.eclipse.gmf.bridge.ui,1243065491907
