what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1243050057653
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1243050057668
closed,view,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.internal.introview,1243050057684
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243050062473
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1243050080335
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1243050082909
started,bundle,org.eclipse.jdt.launching,3.4.0.v20080529-1300,org.eclipse.jdt.launching,1243050082972
started,bundle,org.eclipse.pde.core,3.4.0.v20080604-2000,org.eclipse.pde.core,1243050083003
started,bundle,org.eclipse.pde,3.4.0.v20080603,org.eclipse.pde,1243050083003
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243050099835
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1243050099851
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080513-1235,org.eclipse.jdt.apt.core,1243050100288
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1243050100303
started,bundle,org.openarchitectureware.base,4.3.1.200807300237NGT,org.openarchitectureware.base,1243050100319
started,bundle,org.openarchitectureware.check.editor,4.3.1.200807300237NGT,org.openarchitectureware.check.editor,1243050100334
started,bundle,org.openarchitectureware.xpand2.editor,4.3.1.200807300237NGT,org.openarchitectureware.xpand2.editor,1243050100334
started,bundle,org.openarchitectureware.xtend.editor,4.3.1.200807300237NGT,org.openarchitectureware.xtend.editor,1243050100334
started,bundle,org.eclipse.emf.common,2.4.0.v200806091234,org.eclipse.emf.common,1243050120115
started,bundle,org.eclipse.emf.ecore,2.4.0.v200806091234,org.eclipse.emf.ecore,1243050120146
started,bundle,org.openarchitectureware.emftools,4.3.1.200807300237NGT,org.openarchitectureware.emftools,1243050120162
started,bundle,org.eclipse.emf.ecore.xmi,2.4.0.v200806091234,org.eclipse.emf.ecore.xmi,1243050120178
started,bundle,org.eclipse.pde.build,3.4.0.v20080604,org.eclipse.pde.build,1243050122112
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243050128165
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1243052554220
started,bundle,org.eclipse.m2m.atl.engine.vm,2.0.0.v200806101117,org.eclipse.m2m.atl.engine.vm,1243052556256
